번호,도로명우편번호,도로명전체주소,인허가일자,영업상태명,폐업일자,사업장명,좌표번호 x,좌표번호y
1,61157,광주광역시 북구 삼정로 95 (두암동),2012-12-24,폐업,2021-09-27,엔젤동물병원,35.17048985,126.934315
2,61087,"광주광역시 북구 첨단연신로91번길 44, 105호 (신용동, 대성빌딩)",2013-03-12,폐업,2014-12-16,첨단동물병원,35.20655038,126.8566028
3,61124,광주광역시 북구 서하로 319-1 (오치동),2015-05-26,폐업,2023-04-04,김앤강 동물병원,35.18708839,126.912668
4,61027,"광주광역시 북구 본촌마을길 27 (본촌동, 동물보호소)",2016-01-21,폐업,2017-01-03,광주광역시동물보호소부속동물병원,35.22249284,126.8785494
5,,광주광역시 북구 하서로 367 (양산동),1991-07-10,폐업,2018-12-12,운암동물병원,35.20787258,126.8704766
6,,광주광역시 북구 동문대로 79 (우산동),1996-04-17,폐업,2023-02-02,말바우동물병원,35.17130559,126.9196746
7,61027,"광주광역시 북구 본촌마을길 27 (본촌동, 동물보호소)",2017-01-05,폐업,2017-12-23,광주동물보호소 부속 동물병원,35.22249284,126.8785494
8,,대구광역시 북구 대현로 27 (대현동),1981-08-24,폐업,2009-12-31,북부동물병원,35.88580781,128.6006457
9,,대구광역시 북구 동북로 193 (산격동),1992-04-13,폐업,2021-12-31,복현동물병원,35.89826058,128.6108887
10,,,1993-08-10,폐업,1993-08-10,세진동물병원,,
11,,대구광역시 북구 침산남로 157 (침산동),2000-08-10,폐업,2012-09-17,플러스동물병원,35.88789364,128.5903705
12,,,2002-08-09,폐업,2006-05-15,강북동물병원약품,,
13,,대구광역시 북구 동변로 80 (동변동),2003-03-14,폐업,2013-11-25,수동물병원,35.92016108,128.6009729
14,,대구광역시 북구 칠곡중앙대로46길 12 (태전동),1981-08-24,폐업,2006-02-27,대성동물병원,35.91718948,128.5464011
15,,,1981-08-24,폐업,2000-06-09,천일동물병원,,
16,,대구광역시 북구 원대로 34 (고성동2가),1981-08-24,폐업,2008-10-09,서부동물병원,35.88016084,128.5780514
17,,대구광역시 북구 대학로 141 (산격동),2003-04-11,폐업,2018-04-27,다나동물병원,35.89645107,128.6107789
18,,대구광역시 북구 구암로60길 19 (구암동),2005-03-04,폐업,2006-11-28,임프로바이오동물병원,35.93705504,128.5661712
